alcaldia,localidad,ambito_localidad,pob_sin_ss,pob_con_ss,pob_con_imss,pob_con_issste,pob_con_issste_est,pob_con_sspdm,pob_con_bienestar,pob_con_imssbienestar,pob_con_sspriv,pob_con_ssotro
MILPA ALTA,San Salvador Cuauhtenco,Urbana,27.067133614293347,72.8735086365525,21.137294473793553,16.074078470944382,0.017807324746245624,2.356502641419837,32.32623018935122,0.172137472547041,1.3711640054609129,0.33240339526325163
MILPA ALTA,Santa Ana Tlacotenco,Urbana,23.21809645753308,76.77336747759283,9.355527102005976,29.398207426376437,0.1792573623559539,0.7597097737942808,34.74178403755869,0.3585147247119078,1.357234314980794,1.0670081092616304
MILPA ALTA,Cruztitla,Rural,23.241317898486198,76.7586821015138,18.165627782724844,12.377560106856635,0,0.7123775601068566,42.83170080142475,0.5342831700801425,1.6918967052537845,0.9795191451469278
MILPA ALTA,Xoctonco,Rural,28.426395939086298,71.57360406091371,14.720812182741117,8.375634517766498,0,3.0456852791878175,44.67005076142132,0,0.7614213197969544,0
MILPA ALTA,Tezompa,Rural,29.20353982300885,70.79646017699115,6.1946902654867255,3.982300884955752,0,0,60.17699115044248,0,0,0.8849557522123894
MILPA ALTA,San Lorenzo Tlacoyucan,Urbana,29.267723880597014,70.73227611940298,5.900186567164179,13.386194029850746,0.023320895522388058,0.6996268656716418,50.3964552238806,0.046641791044776115,0.25652985074626866,0.23320895522388058
MILPA ALTA,Coametzu,Rural,30.79470198675497,68.87417218543047,11.258278145695364,3.9735099337748347,0,0,51.98675496688742,0,0,1.9867549668874174
MILPA ALTA,Tepetenco,Rural,40.92409240924093,59.07590759075908,7.2607260726072615,6.9306930693069315,0,0,42.9042904290429,0.6600660066006601,1.3201320132013201,0
MILPA ALTA,San Isidro Cuatepec,Rural,31.420507996237063,68.57949200376294,17.215428033866413,8.748824082784571,0,1.5992474129821261,38.0997177798683,0,3.574788334901223,0.4703668861712135
MILPA ALTA,Xaluis,Rural,29.31937172774869,70.68062827225131,8.900523560209423,8.900523560209423,0,0.5235602094240838,52.35602094240838,0,0,0
MILPA ALTA,Tepetipac,Rural,32.851985559566785,67.14801444043322,17.689530685920577,15.162454873646208,0,1.083032490974729,30.685920577617328,0,2.166064981949458,0.7220216606498195
MILPA ALTA,Mecalco (Camino al Mirador),Rural,44.827586206896555,55.172413793103445,3.8793103448275863,8.189655172413794,0,0,42.672413793103445,0,0.43103448275862066,0
MILPA ALTA,Zacazontlipac,Rural,38.29201101928375,61.70798898071625,23.96694214876033,8.81542699724518,0,2.7548209366391188,26.72176308539945,0,0,0
MILPA ALTA,Santa Catarina (Piedra Blanca),Rural,27.11864406779661,72.88135593220339,21.468926553672315,24.293785310734464,0,0,25.98870056497175,0,0.5649717514124294,0.5649717514124294
MILPA ALTA,Cuauhtetec,Rural,23.703703703703706,76.29629629629629,23.703703703703706,6.296296296296296,0,0,46.666666666666664,0,0,0
MILPA ALTA,Olla de Piedra,Rural,23.015873015873016,76.98412698412699,21.428571428571427,7.936507936507936,0,0,48.41269841269841,0,0,0
MILPA ALTA,Oluca,Rural,34.332425068119896,65.66757493188011,33.787465940054496,8.991825613079019,0.2724795640326975,0.544959128065395,22.070844686648503,0,0.2724795640326975,0
MILPA ALTA,Tuzanco (La Joya),Rural,21.367521367521366,78.63247863247864,15.384615384615385,7.122507122507122,0,0,56.12535612535613,0,0.2849002849002849,0
MILPA ALTA,Joyas Parte Alta,Rural,29.780033840947546,70.21996615905245,20.642978003384094,11.336717428087987,0,0.1692047377326565,37.39424703891709,0,1.6920473773265652,0
MILPA ALTA,San Antonio Cuilotepec,Rural,28.974358974358978,71.02564102564102,10.512820512820513,4.871794871794872,0.5128205128205128,2.051282051282051,52.820512820512825,0,0.5128205128205128,0
MILPA ALTA,San Nicolás Tetelco,Urbana,24.84060814124571,75.15939185875429,19.396763119176068,18.146150073565472,0.2942618930848455,1.4958312898479647,34.89455615497793,0.024521824423737126,0.980872976949485,0.3678273663560569
MILPA ALTA,Arboledas,Rural,21.85792349726776,78.14207650273224,10.92896174863388,6.557377049180328,0,0,59.56284153005464,1.639344262295082,0.546448087431694,0
MILPA ALTA,Tehuizco,Rural,22.259136212624583,77.74086378737542,17.940199335548172,2.990033222591362,0,0.9966777408637874,55.81395348837209,0,0,0
ALVARO OBREGON,Álvaro Obregón,Urbana,24.677899823847863,75.01353749589923,46.42919724954974,9.532768645183221,0.07799705666512517,1.0777296005417634,12.345537501169296,0.21198862191585544,7.331196319382137,0.723712554495832
TLAHUAC,Tláhuac,Urbana,26.94126404156024,72.9944930213021,35.77930080211013,12.7917571369888,0.11551374273792281,0.9543782488240146,22.20859805232711,0.29619700343761485,1.1400032739189119,0.6742419796708167
TLAHUAC,San Andrés Mixquic,Urbana,22.16391085549964,77.6923076923077,21.667864845434938,17.081236520488858,0.33069734004313445,0.6398274622573688,35.91660675772825,0.09345794392523366,1.0424155283968368,1.7541337167505393
TLAHUAC,San Juan Ixtayopan,Urbana,29.089806258250974,70.85310593356407,25.250651157812108,13.986513005316304,0.19980732864737574,1.3130195882541835,28.554608056516926,0.09276768830056731,1.2095479359189354,1.1203482356299284
TLAHUAC,San Nicolás Tetelco,Urbana,22.911160805041675,77.06850985972758,22.809514128887987,18.255743037202684,0.5692213864606628,0.8131734092295182,33.421427119333195,0.10164667615368977,1.2807481195364911,0.48790404553771094
TLAHUAC,Santa Catarina Yecahuitzotl,Urbana,29.79216763998626,70.13912744761251,27.67949158364823,8.691171418756442,0.2919958777052559,0.32634833390587425,30.084163517691515,0.24046719340432843,0.8158708347646857,2.4218481621435934
TLAHUAC,San Ignacio de Loyola,Rural,46.26168224299065,53.73831775700935,13.66822429906542,7.359813084112149,0.11682242990654204,1.1682242990654206,28.38785046728972,0.11682242990654204,0.35046728971962615,2.570093457943925
TLAHUAC,La Ciénega,Rural,36.459016393442624,63.540983606557376,15.081967213114755,2.2295081967213117,0.09836065573770492,0.45901639344262296,45.278688524590166,0.13114754098360656,0.36065573770491804,0.09836065573770492
TLAHUAC,El Paraíso (Mecoxtla),Rural,48.67688022284122,51.32311977715878,16.504178272980504,4.387186629526462,0.2785515320334262,0.5571030640668524,24.16434540389972,3.3426183844011144,0.9052924791086351,1.2534818941504178
TLAHUAC,Colonia los 500 metros,Rural,24.938271604938272,75.06172839506173,20,8.641975308641975,0.7407407407407408,1.4814814814814816,28.888888888888886,3.7037037037037033,1.9753086419753085,10.37037037037037
TLAHUAC,Ampliación San Miguel,Rural,23.18840579710145,76.81159420289855,25,15.217391304347828,0.36231884057971014,1.8115942028985508,37.31884057971014,0,0,0.36231884057971014
TLAHUAC,Puertantitla (Camino al Cerro),Rural,49.45454545454545,50.18181818181818,25.09090909090909,5.818181818181818,0,0,18.545454545454547,0,0.7272727272727273,0
